name,fiscal_year,total,month_name,month,fiscal_month,year,date
other_nontax,2021,31567.0,nov,11,5,2020,2020-11-01
total_revenue,2021,22796222.0,nov,11,5,2020,2020-11-01
real_estate,2021,9642824.0,oct,10,4,2020,2020-10-01
school_income,2021,2802663.0,oct,10,4,2020,2020-10-01
use_and_occupancy,2021,14878993.0,oct,10,4,2020,2020-10-01
liquor,2021,2958735.0,oct,10,4,2020,2020-10-01
other_nontax,2021,2469.0,oct,10,4,2020,2020-10-01
total_revenue,2021,30285684.0,oct,10,4,2020,2020-10-01
other_nontax,2021,35665.0,sep,9,3,2020,2020-09-01
total_revenue,2021,27258781.0,sep,9,3,2020,2020-09-01
liquor,2021,2772188.0,sep,9,3,2020,2020-09-01
real_estate,2021,10330689.0,sep,9,3,2020,2020-09-01
school_income,2021,686796.0,sep,9,3,2020,2020-09-01
use_and_occupancy,2021,13433443.0,sep,9,3,2020,2020-09-01
total_revenue,2021,33915491.0,aug,8,2,2020,2020-08-01
real_estate,2021,13435406.0,aug,8,2,2020,2020-08-01
school_income,2021,3856094.0,aug,8,2,2020,2020-08-01
use_and_occupancy,2021,14216833.0,aug,8,2,2020,2020-08-01
liquor,2021,2151396.0,aug,8,2,2020,2020-08-01
other_nontax,2021,255763.0,aug,8,2,2020,2020-08-01
real_estate,2021,11041024.0,jul,7,1,2020,2020-07-01
school_income,2021,9902288.0,jul,7,1,2020,2020-07-01
use_and_occupancy,2021,13406512.0,jul,7,1,2020,2020-07-01
liquor,2021,2026142.0,jul,7,1,2020,2020-07-01
other_nontax,2021,96584.0,jul,7,1,2020,2020-07-01
total_revenue,2021,36472549.0,jul,7,1,2020,2020-07-01
liquor,2020,1358950.0,jun,6,12,2020,2020-06-01
other_nontax,2020,1047757.0,jun,6,12,2020,2020-06-01
total_revenue,2020,24947168.0,jun,6,12,2020,2020-06-01
use_and_occupancy,2020,11516978.0,jun,6,12,2020,2020-06-01
real_estate,2020,9541085.0,jun,6,12,2020,2020-06-01
school_income,2020,1482397.0,jun,6,12,2020,2020-06-01
real_estate,2020,8539862.0,may,5,11,2020,2020-05-01
