name,fiscal_year,total,month_name,month,fiscal_month,year,date,kind
wage_earnings_net_profits,2021,170519016.0,jun,6,12,2021,2021-06-01,Tax
wage_earnings_net_profits_city,2021,126676292.0,jun,6,12,2021,2021-06-01,Tax
birt,2021,25652736.0,jun,6,12,2021,2021-06-01,Tax
sales,2021,30360846.0,jun,6,12,2021,2021-06-01,Tax
amusement,2021,424569.0,jun,6,12,2021,2021-06-01,Tax
tobacco,2021,29505.0,jun,6,12,2021,2021-06-01,Tax
parking,2021,6021158.0,jun,6,12,2021,2021-06-01,Tax
valet,2021,106077.0,jun,6,12,2021,2021-06-01,Tax
real_estate_transfer,2021,26415321.0,jun,6,12,2021,2021-06-01,Tax
outdoor_ads,2021,231193.0,jun,6,12,2021,2021-06-01,Tax
other_taxes,2021,0.0,jun,6,12,2021,2021-06-01,Tax
wage_earnings_net_profits_pica,2021,43842724.0,jun,6,12,2021,2021-06-01,Tax
amusement,2021,110512.0,may,5,11,2021,2021-05-01,Tax
wage_earnings_net_profits_city,2021,121555925.0,may,5,11,2021,2021-05-01,Tax
birt,2021,151546058.0,may,5,11,2021,2021-05-01,Tax
sales,2021,25131897.0,may,5,11,2021,2021-05-01,Tax
outdoor_ads,2021,192098.0,may,5,11,2021,2021-05-01,Tax
tobacco,2021,1001.0,may,5,11,2021,2021-05-01,Tax
parking,2021,5423891.0,may,5,11,2021,2021-05-01,Tax
valet,2021,84975.0,may,5,11,2021,2021-05-01,Tax
real_estate_transfer,2021,26841641.0,may,5,11,2021,2021-05-01,Tax
wage_earnings_net_profits,2021,160484334.0,may,5,11,2021,2021-05-01,Tax
wage_earnings_net_profits_pica,2021,38928409.0,may,5,11,2021,2021-05-01,Tax
earnings_city,2021,4754102.0,may,5,11,2021,2021-05-01,Tax
net_profits,2021,24946471.0,may,5,11,2021,2021-05-01,Tax
net_profits_pica,2021,12749015.0,may,5,11,2021,2021-05-01,Tax
net_profits_city,2021,12197456.0,may,5,11,2021,2021-05-01,Tax
earnings,2021,4298435.0,may,5,11,2021,2021-05-01,Tax
earnings_pica,2021,-455667.0,may,5,11,2021,2021-05-01,Tax
wage,2021,131239428.0,may,5,11,2021,2021-05-01,Tax
wage_pica,2021,26635061.0,may,5,11,2021,2021-05-01,Tax
wage_city,2021,104604367.0,may,5,11,2021,2021-05-01,Tax
real_estate,2021,16570278.0,may,5,11,2021,2021-05-01,Tax
all_taxes,2021,353592982.0,may,5,11,2021,2021-05-01,Tax
soda,2021,6134010.0,may,5,11,2021,2021-05-01,Tax
other_taxes,2021,696.0,may,5,11,2021,2021-05-01,Tax
all_taxes,2021,507476543.0,apr,4,10,2021,2021-04-01,Tax
other_taxes,2021,4617.0,apr,4,10,2021,2021-04-01,Tax
