sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Publishing,225.0,2154383.0,404227.0,2558610.0,2010,Information
Broadcasting (TV and Radio),44.0,1674429.0,338477.0,2012906.0,2010,Information
Telecommunications,210.0,4929911.0,2074262.0,7004173.0,2010,Information
Other Information,556.0,1097488.0,535896.0,1633384.0,2010,Information
Banking and Related Activities,330.0,1290423.0,676230.0,1966653.0,2010,
Financial Investment Services,459.0,15614193.0,5157871.0,20772064.0,2010,
Educational Services,851.0,1898544.0,583171.0,2481715.0,2009,
Architect and Engineering,925.0,3320861.0,1211946.0,4532807.0,2009,Professional Services
Computer Services,797.0,1706544.0,911436.0,2617980.0,2009,Professional Services
Management and Technical Consulting,2300.0,6140134.0,1680257.0,7820391.0,2009,Professional Services
Advertising,367.0,1125852.0,495111.0,1620963.0,2009,Professional Services
Other Professional Services,1721.0,3360103.0,657484.0,4017587.0,2009,Professional Services
Business Support Services,3365.0,4699576.0,2719788.0,7419364.0,2009,
Legal Services,2851.0,56077074.0,4788787.0,60865861.0,2009,Professional Services
Health and Social Services,5531.0,16646071.0,5917852.0,22563923.0,2009,
Sports,38.0,2389071.0,891371.0,3280442.0,2009,
Hotels and Other Accommodations,152.0,1130119.0,1024787.0,2154906.0,2009,
"Restaurants, Bars, and Other Food Services",4464.0,6154967.0,3318570.0,9473537.0,2009,
Other Personal Services,5532.0,5251388.0,1449341.0,6700729.0,2009,
All Other Sectors,2720.0,4878411.0,2184525.0,7062936.0,2009,
Unclassified,12855.0,5720389.0,790259.0,6510648.0,2009,
"Accounting, Tax and Payroll Services",872.0,11577639.0,1005303.0,12582942.0,2009,Professional Services
Professional Services,9833.0,83308207.0,10750324.0,94058531.0,2009,
Wholesale Trade,3040.0,8810151.0,9220504.0,18030655.0,2009,
Information,986.0,11261609.0,3157470.0,14419079.0,2009,
Real Estate,31769.0,32057952.0,6394385.0,38452337.0,2009,
Manufacturing,2605.0,11444183.0,6040759.0,17484942.0,2009,
