category,fiscal_month,amount,fiscal_year,quarter,month
Receipts - Disbursements,12,4.1,2022,1,6
Opening Balance,12,794.7,2022,1,6
TRAN,12,0.0,2022,1,6
Closing Balance,12,798.8,2022,1,6
Receipts - Disbursements,1,6.5,2021,4,7
Opening Balance,1,758.8,2021,4,7
TRAN,1,0.0,2021,4,7
Closing Balance,1,765.3,2021,4,7
Receipts - Disbursements,2,24.9,2021,4,8
Opening Balance,2,765.3,2021,4,8
TRAN,2,0.0,2021,4,8
Closing Balance,2,790.1,2021,4,8
Receipts - Disbursements,3,65.2,2021,4,9
Opening Balance,3,790.1,2021,4,9
TRAN,3,300.0,2021,4,9
Closing Balance,3,1155.4,2021,4,9
Receipts - Disbursements,4,-245.1,2021,4,10
Opening Balance,4,1155.4,2021,4,10
TRAN,4,0.0,2021,4,10
Closing Balance,4,910.3,2021,4,10
Receipts - Disbursements,5,23.0,2021,4,11
Opening Balance,5,910.3,2021,4,11
TRAN,5,0.0,2021,4,11
Closing Balance,5,933.3,2021,4,11
Receipts - Disbursements,6,-71.3,2021,4,12
Opening Balance,6,933.3,2021,4,12
TRAN,6,0.0,2021,4,12
Closing Balance,6,862.0,2021,4,12
Receipts - Disbursements,7,12.1,2021,4,1
Opening Balance,7,862.0,2021,4,1
TRAN,7,0.0,2021,4,1
Closing Balance,7,874.1,2021,4,1
Receipts - Disbursements,8,59.1,2021,4,2
Opening Balance,8,874.1,2021,4,2
TRAN,8,0.0,2021,4,2
Closing Balance,8,933.2,2021,4,2
Receipts - Disbursements,9,-142.1,2021,4,3
Opening Balance,9,933.2,2021,4,3
TRAN,9,0.0,2021,4,3
Closing Balance,9,791.0,2021,4,3
Receipts - Disbursements,10,600.3,2021,4,4
Opening Balance,10,791.0,2021,4,4
TRAN,10,-300.0,2021,4,4
Closing Balance,10,1091.4,2021,4,4
Receipts - Disbursements,11,-139.7,2021,4,5
Opening Balance,11,1091.4,2021,4,5
TRAN,11,0.0,2021,4,5
Closing Balance,11,951.6,2021,4,5
Receipts - Disbursements,12,29.7,2021,4,6
Opening Balance,12,951.6,2021,4,6
TRAN,12,0.0,2021,4,6
Closing Balance,12,981.3,2021,4,6
Receipts - Disbursements,1,6.5,2021,3,7
Opening Balance,1,758.8,2021,3,7
TRAN,1,0.0,2021,3,7
Closing Balance,1,765.3,2021,3,7
Receipts - Disbursements,2,24.9,2021,3,8
Opening Balance,2,765.3,2021,3,8
TRAN,2,0.0,2021,3,8
Closing Balance,2,790.1,2021,3,8
Receipts - Disbursements,3,65.2,2021,3,9
Opening Balance,3,790.1,2021,3,9
TRAN,3,300.0,2021,3,9
Closing Balance,3,1155.4,2021,3,9
Receipts - Disbursements,4,-245.1,2021,3,10
Opening Balance,4,1155.4,2021,3,10
TRAN,4,0.0,2021,3,10
Closing Balance,4,910.3,2021,3,10
Receipts - Disbursements,5,23.0,2021,3,11
Opening Balance,5,910.3,2021,3,11
TRAN,5,0.0,2021,3,11
Closing Balance,5,933.3,2021,3,11
Receipts - Disbursements,6,-71.3,2021,3,12
Opening Balance,6,933.3,2021,3,12
TRAN,6,0.0,2021,3,12
Closing Balance,6,862.0,2021,3,12
Receipts - Disbursements,7,12.1,2021,3,1
Opening Balance,7,862.0,2021,3,1
TRAN,7,0.0,2021,3,1
Closing Balance,7,874.1,2021,3,1
Receipts - Disbursements,8,59.1,2021,3,2
Opening Balance,8,874.1,2021,3,2
TRAN,8,0.0,2021,3,2
Closing Balance,8,933.2,2021,3,2
Receipts - Disbursements,9,-144.5,2021,3,3
Opening Balance,9,933.2,2021,3,3
TRAN,9,0.0,2021,3,3
Closing Balance,9,788.6,2021,3,3
Receipts - Disbursements,10,600.3,2021,3,4
Opening Balance,10,788.6,2021,3,4
TRAN,10,-300.0,2021,3,4
Closing Balance,10,1089.0,2021,3,4
Receipts - Disbursements,11,-244.0,2021,3,5
Opening Balance,11,1089.0,2021,3,5
TRAN,11,0.0,2021,3,5
Closing Balance,11,844.9,2021,3,5
Receipts - Disbursements,12,-181.2,2021,3,6
Opening Balance,12,844.9,2021,3,6
TRAN,12,0.0,2021,3,6
Closing Balance,12,663.8,2021,3,6
Receipts - Disbursements,1,6.5,2021,2,7
Opening Balance,1,758.8,2021,2,7
TRAN,1,0.0,2021,2,7
Closing Balance,1,765.3,2021,2,7
Receipts - Disbursements,2,24.9,2021,2,8
Opening Balance,2,765.3,2021,2,8
TRAN,2,0.0,2021,2,8
Closing Balance,2,790.1,2021,2,8
Receipts - Disbursements,3,65.2,2021,2,9
Opening Balance,3,790.1,2021,2,9
TRAN,3,300.0,2021,2,9
Closing Balance,3,1155.4,2021,2,9
Receipts - Disbursements,4,-245.1,2021,2,10
Opening Balance,4,1155.4,2021,2,10
TRAN,4,0.0,2021,2,10
Closing Balance,4,910.3,2021,2,10
Receipts - Disbursements,5,23.0,2021,2,11
Opening Balance,5,910.3,2021,2,11
TRAN,5,0.0,2021,2,11
Closing Balance,5,933.3,2021,2,11
Receipts - Disbursements,6,-71.3,2021,2,12
Opening Balance,6,933.3,2021,2,12
TRAN,6,0.0,2021,2,12
Closing Balance,6,862.0,2021,2,12
Receipts - Disbursements,7,13.6,2021,2,1
Opening Balance,7,862.0,2021,2,1
TRAN,7,0.0,2021,2,1
Closing Balance,7,875.6,2021,2,1
Receipts - Disbursements,8,5.0,2021,2,2
Opening Balance,8,875.6,2021,2,2
TRAN,8,0.0,2021,2,2
Closing Balance,8,880.6,2021,2,2
Receipts - Disbursements,9,-350.8,2021,2,3
Opening Balance,9,880.6,2021,2,3
TRAN,9,0.0,2021,2,3
Closing Balance,9,529.8,2021,2,3
Receipts - Disbursements,10,376.1,2021,2,4
Opening Balance,10,529.8,2021,2,4
TRAN,10,0.0,2021,2,4
Closing Balance,10,905.8,2021,2,4
Receipts - Disbursements,11,23.6,2021,2,5
Opening Balance,11,905.8,2021,2,5
TRAN,11,-300.0,2021,2,5
Closing Balance,11,629.4,2021,2,5
Receipts - Disbursements,12,-124.2,2021,2,6
Opening Balance,12,629.4,2021,2,6
TRAN,12,0.0,2021,2,6
Closing Balance,12,505.2,2021,2,6
Receipts - Disbursements,1,133.4,2021,1,7
Opening Balance,1,758.8,2021,1,7
TRAN,1,0.0,2021,1,7
Closing Balance,1,892.2,2021,1,7
Receipts - Disbursements,2,24.9,2021,1,8
Opening Balance,2,892.2,2021,1,8
TRAN,2,0.0,2021,1,8
Closing Balance,2,917.1,2021,1,8
Receipts - Disbursements,3,65.2,2021,1,9
Opening Balance,3,917.1,2021,1,9
TRAN,3,300.0,2021,1,9
Closing Balance,3,1282.3,2021,1,9
Receipts - Disbursements,4,-244.2,2021,1,10
Opening Balance,4,1282.3,2021,1,10
TRAN,4,0.0,2021,1,10
