name,kind,fiscal_year,total,month_name,month,fiscal_month,year,date
net_profits_pica,current,2021,5157261.0,jun,6,12,2021,2021-06-01
net_profits_city,total,2021,4955281.0,jun,6,12,2021,2021-06-01
net_profits_city,prior,2021,727279.0,jun,6,12,2021,2021-06-01
net_profits_city,current,2021,4228002.0,jun,6,12,2021,2021-06-01
earnings_pica,total,2021,1483579.0,jun,6,12,2021,2021-06-01
earnings_pica,prior,2021,0.0,jun,6,12,2021,2021-06-01
earnings_pica,current,2021,1483579.0,jun,6,12,2021,2021-06-01
earnings_city,total,2021,3081376.0,jun,6,12,2021,2021-06-01
earnings_city,current,2021,1793451.0,jun,6,12,2021,2021-06-01
net_profits,total,2021,10112543.0,jun,6,12,2021,2021-06-01
wage,total,2021,155841518.0,jun,6,12,2021,2021-06-01
wage_pica,total,2021,37201884.0,jun,6,12,2021,2021-06-01
wage_pica,prior,2021,0.0,jun,6,12,2021,2021-06-01
wage_city,total,2021,118639635.0,jun,6,12,2021,2021-06-01
wage_city,prior,2021,-8411010.0,jun,6,12,2021,2021-06-01
wage_city,current,2021,127050645.0,jun,6,12,2021,2021-06-01
real_estate,total,2021,11298452.0,jun,6,12,2021,2021-06-01
real_estate,prior,2021,2688580.0,jun,6,12,2021,2021-06-01
real_estate,current,2021,8609871.0,jun,6,12,2021,2021-06-01
net_profits_pica,total,2021,5157261.0,jun,6,12,2021,2021-06-01
earnings,total,2021,4564955.0,jun,6,12,2021,2021-06-01
wage_earnings_net_profits,total,2021,170519016.0,jun,6,12,2021,2021-06-01
parking,total,2021,6021158.0,jun,6,12,2021,2021-06-01
all_taxes,total,2021,233493651.0,jun,6,12,2021,2021-06-01
